#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 400
# Band-Index    1
   0.30684    -13.601184    -13.601184
   0.31788    -13.579153    -13.579153
   0.32892    -13.557692    -13.557691
   0.33997    -13.536969    -13.536968
   0.35101    -13.517620    -13.517620
   0.36205    -13.503804    -13.503804
   0.36205    -13.503804    -13.503804
   0.38414    -13.528314    -13.528314
   0.40622    -13.553611    -13.553611
   0.42831    -13.579086    -13.579086
   0.45040    -13.602645    -13.602644
   0.47249    -13.630350    -13.630350
   0.49458    -13.658777    -13.658777
   0.51666    -13.687624    -13.687624
   0.53875    -13.716554    -13.716554
   0.56084    -13.710982    -13.710982
   0.58293    -13.732885    -13.732885
   0.60501    -13.757069    -13.757069
   0.62710    -13.774686    -13.774686
 
# Band-Index   20
   0.62710    -13.771731    -13.771731
   0.60501    -13.753790    -13.753789
   0.58293    -13.719814    -13.719813
   0.56084    -13.699246    -13.699245
   0.53875    -13.694672    -13.694672
   0.51666    -13.671084    -13.671084
   0.49458    -13.646719    -13.646718
   0.47249    -13.621337    -13.621337
