  #K-Path    Energy        Mo         S        Si
# Band-Index    1
    0.230  -13.8384     0.065     0.644     0.000
    0.230  -13.8384     0.065     0.644     0.000
    0.210  -13.8380     0.065     0.637     0.000
    0.191  -13.8368     0.069     0.643     0.000
    0.172  -13.8347     0.070     0.641     0.000
    0.153  -13.8318     0.100     0.632     0.000
    0.134  -13.8283     0.120     0.628     0.000
    0.115  -13.8244     0.115     0.633     0.000
    0.096  -13.8133     0.116     0.638     0.000
    0.077  -13.8096     0.078     0.643     0.000
    0.057  -13.8031     0.079     0.644     0.000
    0.038  -13.7955     0.095     0.644     0.000
    0.019  -13.7923     0.073     0.646     0.000
    0.000  -13.8309     0.114     0.629     0.000
 
# Band-Index   15
    0.000  -13.7807     0.077     0.644     0.000
    0.019  -13.7909     0.113     0.635     0.000
    0.038  -13.7942     0.076     0.644     0.000
    0.057  -13.8022     0.076     0.646     0.000
    0.077  -13.8088     0.077     0.644     0.000
    0.096  -13.8129     0.091     0.640     0.000
    0.115  -13.8118     0.109     0.632     0.000
    0.134  -13.8067     0.114     0.629     0.000
    0.153  -13.8001     0.116     0.633     0.000
    0.172  -13.7924     0.116     0.633     0.000
    0.191  -13.7838     0.116     0.633     0.000
    0.210  -13.7746     0.114     0.633     0.000
    0.230  -13.7673     0.117     0.637     0.000
    0.230  -13.7673     0.117     0.637     0.000
    0.241  -13.7919     0.120     0.631     0.000
    0.252  -13.8169     0.110     0.637     0.000
    0.263  -13.8354     0.115     0.632     0.000
    0.274  -13.8611     0.120     0.632     0.000
    0.285  -13.8839     0.080     0.638     0.000
    0.296  -13.8953     0.074     0.638     0.000
    0.307  -13.9049     0.073     0.639     0.000
    0.318  -13.9138     0.072     0.640     0.000
    0.329  -13.9223     0.068     0.638     0.000
    0.340  -13.9303     0.066     0.639     0.000
    0.351  -13.9378     0.065     0.643     0.000
    0.362  -13.9429     0.067     0.641     0.000
    0.362  -13.9429     0.067     0.641     0.000
    0.384  -13.9356     0.068     0.641     0.000
    0.406  -13.9262     0.070     0.639     0.000
    0.428  -13.9155     0.070     0.640     0.000
    0.450  -13.9005     0.091     0.635     0.000
    0.472  -13.8627     0.119     0.632     0.000
    0.495  -13.8210     0.115     0.632     0.000
    0.517  -13.7797     0.120     0.636     0.000
    0.539  -13.7688     0.078     0.645     0.000
    0.561  -13.7731     0.077     0.646     0.000
    0.583  -13.7801     0.094     0.639     0.000
    0.605  -13.7942     0.076     0.644     0.000
    0.627  -13.7807     0.077     0.644     0.000
 
# Band-Index   16
    0.627  -13.7794     0.077     0.643     0.000
    0.605  -13.7788     0.077     0.644     0.000
    0.583  -13.7699     0.088     0.644     0.000
    0.561  -13.7453     0.078     0.645     0.000
    0.539  -13.7391     0.125     0.638     0.000
    0.517  -13.7639     0.125     0.634     0.000
    0.495  -13.7576     0.106     0.637     0.000
    0.472  -13.7503     0.114     0.636     0.000
    0.450  -13.7420     0.115     0.640     0.000
    0.428  -13.7327     0.114     0.636     0.000
