    # Energy          Mo           S          Si           C           O
   -14.44352     1.00632     4.96092     0.00024     0.00001     0.00004
   -14.44052     0.98691     4.86731     0.00024     0.00001     0.00004
   -14.43752     0.97672     4.81914     0.00024     0.00001     0.00003
   -14.43452     0.96654     4.77108     0.00023     0.00001     0.00003
   -14.43152     0.95641     4.72299     0.00023     0.00001     0.00003
   -14.42852     0.92673     4.58025     0.00022     0.00001     0.00003
   -14.42552     0.91626     4.53037     0.00022     0.00001     0.00003
   -14.42252     0.90598     4.48143     0.00022     0.00001     0.00003
   -14.41952     0.89573     4.43249     0.00021     0.00001     0.00003
   -14.41652     0.88547     4.38354     0.00021     0.00001     0.00003
   -14.41352     0.87522     4.33467     0.00021     0.00001     0.00003
   -14.41052     0.86496     4.28566     0.00021     0.00001     0.00003
   -14.40752     0.85365     4.23118     0.00020     0.00001     0.00003
   -14.40452     0.84152     4.17281     0.00020     0.00001     0.00003
   -14.40152     0.84190     4.17650     0.00020     0.00001     0.00003
   -14.39852     0.84230     4.18050     0.00020     0.00001     0.00003
   -14.39552     0.85187     4.23015     0.00020     0.00001     0.00003
   -14.39252     0.86649     4.30471     0.00021     0.00001     0.00003
   -14.38952     0.88109     4.37935     0.00021     0.00001     0.00003
   -14.38652     0.89435     4.44748     0.00021     0.00001     0.00003
   -14.38352     0.90638     4.50962     0.00021     0.00001     0.00003
   -14.38052     0.91839     4.57183     0.00022     0.00001     0.00003
   -14.37752     0.93041     4.63393     0.00022     0.00001     0.00003
   -14.37452     0.93877     4.67762     0.00022     0.00001     0.00003
   -14.37152     0.96099     4.79183     0.00023     0.00001     0.00003
   -14.36852     0.96683     4.82300     0.00023     0.00001     0.00003
   -14.36552     0.97271     4.85410     0.00023     0.00001     0.00003
   -14.36252     0.97969     4.89062     0.00023     0.00001     0.00003
   -14.35952     0.98801     4.93375     0.00023     0.00001     0.00003
   -14.35652     0.99635     4.97649     0.00023     0.00001     0.00003
   -14.35352     1.00468     5.01962     0.00024     0.00001     0.00003
   -14.35052     1.01301     5.06277     0.00024     0.00001     0.00003
   -14.34752     1.02131     5.10560     0.00024     0.00001     0.00003
   -14.34452     1.02964     5.14863     0.00024     0.00001     0.00003
   -14.34152     1.24826     6.24893     0.00029     0.00002     0.00004
   -14.33852     1.18309     5.92551     0.00028     0.00002     0.00004
   -14.33552     1.13341     5.67939     0.00027     0.00001     0.00004
   -14.33252     1.11454     5.58827     0.00026     0.00001     0.00004
   -14.32952     1.18135     5.92603     0.00028     0.00001     0.00004
   -14.32652     1.24816     6.26438     0.00029     0.00002     0.00004
   -14.32352     1.31495     6.60254     0.00031     0.00002     0.00005
   -14.32052     1.24532     6.25687     0.00029     0.00002     0.00004
   -14.31752     1.31799     6.62423     0.00031     0.00002     0.00005
   -14.31452     1.39068     6.99179     0.00032     0.00002     0.00005
   -14.31152     1.46334     7.35995     0.00034     0.00002     0.00005
   -14.30852     1.20141     6.04438     0.00028     0.00002     0.00005
   -14.30552     1.21112     6.09572     0.00028     0.00002     0.00004
   -14.30252     1.22111     6.14732     0.00028     0.00002     0.00004
   -14.29952     1.23133     6.20105     0.00029     0.00002     0.00004
   -14.29652     1.24481     6.27089     0.00029     0.00002     0.00005
   -14.29352     1.27132     6.40622     0.00029     0.00002     0.00005
   -14.29052     1.28700     6.48786     0.00030     0.00002     0.00005
   -14.28752     1.30255     6.56869     0.00030     0.00002     0.00005
   -14.28452     1.31841     6.65187     0.00030     0.00002     0.00005
   -14.28152     1.33428     6.73385     0.00031     0.00002     0.00005
   -14.27852     1.02583     5.17864     0.00024     0.00001     0.00003
   -14.27552     0.96723     4.88492     0.00022     0.00001     0.00003
   -14.27252     0.90826     4.58920     0.00021     0.00001     0.00003
   -14.26952     0.84716     4.28255     0.00019     0.00001     0.00003
   -14.26652     0.50449     2.55027     0.00012     0.00001     0.00002
   -14.26352     0.48042     2.42989     0.00011     0.00001     0.00001
   -14.26052     0.45638     2.30950     0.00010     0.00001     0.00001
   -14.25752     0.43236     2.18912     0.00010     0.00000     0.00001
   -14.25452     0.40834     2.06868     0.00009     0.00000     0.00001
   -14.25152     0.38431     1.94822     0.00009     0.00000     0.00001
   -14.24852     0.37778     1.91613     0.00009     0.00000     0.00001
   -14.24552     0.38673     1.96222     0.00009     0.00000     0.00001
   -14.24252     0.39571     2.00837     0.00009     0.00000     0.00001
   -14.23952     0.74181     3.77069     0.00017     0.00001     0.00002
   -14.23652     0.89962     4.57505     0.00020     0.00001     0.00003
   -14.23352     1.05748     5.37971     0.00024     0.00001     0.00003
   -14.23052     1.00893     5.13359     0.00023     0.00001     0.00003
   -14.22752     0.93746     4.77104     0.00021     0.00001     0.00003
   -14.22452     0.86604     4.40845     0.00020     0.00001     0.00003
   -14.22152     0.79989     4.07351     0.00018     0.00001     0.00003
   -14.21852     0.75793     3.86338     0.00017     0.00001     0.00002
   -14.21552     0.72971     3.72365     0.00016     0.00001     0.00002
   -14.21252     0.70280     3.58992     0.00016     0.00001     0.00002
   -14.20952     0.68611     3.50802     0.00015     0.00001     0.00002
   -14.20652     0.69846     3.57317     0.00016     0.00001     0.00002
   -14.20352     0.71082     3.63836     0.00016     0.00001     0.00002
   -14.20052     0.83920     4.29915     0.00019     0.00001     0.00002
   -14.19752     1.07760     5.52128     0.00024     0.00001     0.00003
   -14.19452     1.19854     6.14249     0.00027     0.00001     0.00004
   -14.19152     1.18818     6.09050     0.00026     0.00001     0.00004
   -14.18852     1.11711     5.72805     0.00025     0.00001     0.00004
   -14.18552     1.34757     6.91192     0.00030     0.00002     0.00004
   -14.18252     1.30067     6.67358     0.00029     0.00002     0.00004
   -14.17952     1.25373     6.43534     0.00028     0.00001     0.00004
   -14.17652     1.20683     6.19650     0.00027     0.00001     0.00004
   -14.17352     1.15988     5.95845     0.00026     0.00001     0.00004
   -14.17052     1.15000     5.90964     0.00025     0.00001     0.00004
   -14.16752     1.16636     5.99550     0.00026     0.00001     0.00004
   -14.16452     1.18281     6.08163     0.00026     0.00001     0.00004
   -14.16152     1.19864     6.16499     0.00026     0.00001     0.00004
   -14.15852     1.17138     6.02661     0.00026     0.00001     0.00004
   -14.15552     1.65294     8.51000     0.00036     0.00002     0.00005
   -14.15252     2.64989    13.64684     0.00058     0.00003     0.00009
   -14.14952     0.99212     5.11294     0.00022     0.00001     0.00003
   -14.14652     0.97038     5.00234     0.00021     0.00001     0.00003
   -14.14352     0.94858     4.89173     0.00021     0.00001     0.00003
   -14.14052     0.92686     4.78107     0.00020     0.00001     0.00003
   -14.13752     0.90510     4.67036     0.00020     0.00001     0.00003
   -14.13452     0.88335     4.55957     0.00019     0.00001     0.00003
   -14.13152     0.83491     4.31259     0.00018     0.00001     0.00003
   -14.12852     0.84860     4.38496     0.00019     0.00001     0.00003
   -14.12552     0.91562     4.73367     0.00020     0.00001     0.00003
   -14.12252     0.94018     4.86261     0.00020     0.00001     0.00003
   -14.11952     0.96470     4.99151     0.00021     0.00001     0.00003
   -14.11652     0.98924     5.12067     0.00021     0.00001     0.00003
   -14.11352     1.01380     5.24964     0.00022     0.00001     0.00003
   -14.11052     1.03832     5.37883     0.00022     0.00001     0.00003
   -14.10752     1.06288     5.50755     0.00023     0.00001     0.00004
   -14.10452     1.14415     5.93291     0.00025     0.00001     0.00004
   -14.10152     1.21076     6.28116     0.00026     0.00001     0.00004
   -14.09852     1.22559     6.35934     0.00026     0.00001     0.00004
   -14.09552     1.24046     6.43812     0.00027     0.00001     0.00004
   -14.09252     1.25401     6.52154     0.00027     0.00001     0.00004
   -14.08952     1.08980     5.72692     0.00025     0.00001     0.00004
   -14.08652     1.09587     5.78172     0.00026     0.00001     0.00004
   -14.08352     1.10325     5.83679     0.00026     0.00001     0.00004
   -14.08052     1.09799     5.82392     0.00026     0.00001     0.00004
   -14.07752     1.08353     5.76276     0.00026     0.00001     0.00004
   -14.07452     1.05604     5.63706     0.00026     0.00001     0.00004
   -14.07152     1.00891     5.41569     0.00026     0.00001     0.00004
   -14.06852     0.96177     5.19417     0.00025     0.00001     0.00004
   -14.06552     0.91451     4.97277     0.00025     0.00001     0.00004
   -14.06252     0.89163     4.87664     0.00025     0.00001     0.00004
   -14.05952     0.89940     4.93789     0.00025     0.00001     0.00004
   -14.05652     0.91028     5.01542     0.00026     0.00001     0.00004
   -14.05352     0.93890     5.18566     0.00027     0.00001     0.00004
   -14.05052     0.96748     5.35564     0.00028     0.00001     0.00004
   -14.04752     1.10908     6.14287     0.00032     0.00002     0.00005
   -14.04452     1.11460     6.18949     0.00033     0.00002     0.00005
   -14.04152     1.12013     6.23675     0.00034     0.00002     0.00005
   -14.03852     1.12557     6.28362     0.00034     0.00002     0.00005
   -14.03552     1.13102     6.33088     0.00035     0.00002     0.00005
   -14.03252     1.13647     6.37764     0.00035     0.00002     0.00005
   -14.02952     1.05736     5.98299     0.00034     0.00002     0.00005
   -14.02652     1.02065     5.86772     0.00035     0.00002     0.00005
   -14.02352     0.94392     5.49132     0.00034     0.00002     0.00005
   -14.02052     0.86719     5.11549     0.00033     0.00002     0.00004
   -14.01752     0.89673     5.29892     0.00034     0.00002     0.00004
   -14.01452     0.89928     5.36149     0.00036     0.00002     0.00005
   -14.01152     1.00909     5.99376     0.00039     0.00002     0.00005
   -14.00852     1.25484     7.34297     0.00046     0.00002     0.00006
   -14.00552     1.29116     7.59935     0.00048     0.00002     0.00006
   -14.00252     1.29636     7.69365     0.00050     0.00002     0.00006
   -13.99952     1.30119     7.78858     0.00052     0.00002     0.00006
   -13.99652     1.30565     7.88421     0.00054     0.00002     0.00007
   -13.99352     1.30513     7.94268     0.00055     0.00002     0.00007
   -13.99052     1.29710     7.94455     0.00056     0.00002     0.00007
   -13.98752     1.30759     8.05420     0.00058     0.00003     0.00007
   -13.98452     1.34139     8.29880     0.00060     0.00003     0.00007
   -13.98152     2.07953    16.33029     0.00185     0.00008     0.00022
   -13.97852     1.87805    14.14838     0.00151     0.00007     0.00018
   -13.97552     1.54241    10.58123     0.00096     0.00004     0.00012
   -13.97252     1.31112     8.04573     0.00056     0.00002     0.00007
   -13.96952     1.50570     9.89354     0.00082     0.00004     0.00010
   -13.96652     1.49066     9.70891     0.00078     0.00003     0.00010
   -13.96352     3.91150    25.40219     0.00202     0.00008     0.00022
   -13.96052     1.48455     9.90784     0.00083     0.00004     0.00011
   -13.95752     2.49670    17.25383     0.00156     0.00007     0.00021
   -13.95452     2.95670    20.17270     0.00177     0.00009     0.00024
   -13.95152     3.10652    21.33933     0.00189     0.00009     0.00025
   -13.94852     3.05588    20.92301     0.00184     0.00009     0.00024
   -13.94552     2.73625    18.87442     0.00168     0.00008     0.00022
   -13.94252     1.94880    12.84116     0.00104     0.00005     0.00014
   -13.93952     1.55494     9.51727     0.00064     0.00003     0.00009
   -13.93652     1.80767    10.88278     0.00069     0.00003     0.00010
   -13.93352     1.56518    10.71040     0.00092     0.00004     0.00012
   -13.93052     1.68423    12.06182     0.00113     0.00005     0.00015
   -13.92752     2.03578    15.15537     0.00151     0.00007     0.00019
   -13.92452     2.28085    17.49362     0.00182     0.00008     0.00023
   -13.92152     1.96142    14.49684     0.00142     0.00007     0.00018
