  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
    0.539  -14.6410     0.125     0.591     0.000     0.000     0.000
    0.561  -14.6490     0.124     0.590     0.000     0.000     0.000
    0.583  -14.6548     0.124     0.589     0.000     0.000     0.000
    0.605  -14.6583     0.122     0.598     0.000     0.000     0.000
    0.627  -14.6562     0.124     0.590     0.000     0.000     0.000
 
# Band-Index    8
    0.627  -14.6550     0.124     0.591     0.000     0.000     0.000
    0.605  -14.6206     0.124     0.592     0.000     0.000     0.000
    0.583  -14.5771     0.123     0.596     0.000     0.000     0.000
    0.561  -14.5320     0.124     0.595     0.000     0.000     0.000
    0.539  -14.4854     0.123     0.596     0.000     0.000     0.000
    0.517  -14.4375     0.121     0.595     0.000     0.000     0.000
    0.495  -14.3885     0.122     0.596     0.000     0.000     0.000
    0.472  -14.3384     0.122     0.594     0.000     0.000     0.000
    0.450  -14.2875     0.122     0.601     0.000     0.000     0.000
    0.428  -14.3366     0.121     0.603     0.000     0.000     0.000
    0.406  -14.3913     0.122     0.604     0.000     0.000     0.000
    0.384  -14.4451     0.123     0.606     0.000     0.000     0.000
    0.362  -14.4973     0.120     0.606     0.000     0.000     0.000
    0.362  -14.4973     0.120     0.606     0.000     0.000     0.000
    0.351  -14.4844     0.120     0.611     0.000     0.000     0.000
    0.340  -14.4706     0.121     0.610     0.000     0.000     0.000
    0.329  -14.4564     0.121     0.606     0.000     0.000     0.000
    0.318  -14.4417     0.121     0.603     0.000     0.000     0.000
    0.307  -14.4266     0.121     0.603     0.000     0.000     0.000
    0.296  -14.4111     0.123     0.603     0.000     0.000     0.000
    0.285  -14.3952     0.123     0.602     0.000     0.000     0.000
    0.274  -14.3789     0.123     0.603     0.000     0.000     0.000
    0.263  -14.3622     0.123     0.603     0.000     0.000     0.000
    0.252  -14.3451     0.123     0.602     0.000     0.000     0.000
    0.241  -14.3277     0.123     0.602     0.000     0.000     0.000
    0.230  -14.3105     0.122     0.598     0.000     0.000     0.000
    0.230  -14.3105     0.122     0.598     0.000     0.000     0.000
    0.210  -14.3456     0.125     0.603     0.000     0.000     0.000
    0.191  -14.3804     0.125     0.608     0.000     0.000     0.000
    0.172  -14.4142     0.125     0.610     0.000     0.000     0.000
    0.153  -14.4468     0.119     0.605     0.000     0.000     0.000
    0.134  -14.4782     0.120     0.606     0.000     0.000     0.000
    0.115  -14.5083     0.120     0.603     0.000     0.000     0.000
    0.096  -14.5371     0.120     0.601     0.000     0.000     0.000
    0.077  -14.5645     0.120     0.601     0.000     0.000     0.000
    0.057  -14.5905     0.122     0.599     0.000     0.000     0.000
    0.038  -14.6150     0.124     0.597     0.000     0.000     0.000
    0.019  -14.6380     0.122     0.594     0.000     0.000     0.000
    0.000  -14.6550     0.124     0.591     0.000     0.000     0.000
 
# Band-Index    9
    0.000  -14.6517     0.119     0.590     0.000     0.000     0.000
    0.019  -14.6166     0.122     0.592     0.000     0.000     0.000
    0.038  -14.5743     0.121     0.594     0.000     0.000     0.000
    0.057  -14.5307     0.123     0.596     0.000     0.000     0.000
    0.077  -14.4861     0.121     0.601     0.000     0.000     0.000
    0.096  -14.4406     0.120     0.605     0.000     0.000     0.000
    0.115  -14.3944     0.123     0.604     0.000     0.000     0.000
    0.134  -14.3476     0.123     0.604     0.000     0.000     0.000
    0.153  -14.3004     0.123     0.605     0.000     0.000     0.000
    0.172  -14.2527     0.124     0.608     0.000     0.000     0.000
    0.191  -14.2361     0.120     0.611     0.000     0.000     0.000
    0.210  -14.2738     0.120     0.608     0.000     0.000     0.000
    0.230  -14.3100     0.120     0.606     0.000     0.000     0.000
    0.230  -14.3100     0.120     0.606     0.000     0.000     0.000
    0.241  -14.2924     0.119     0.606     0.000     0.000     0.000
    0.252  -14.2739     0.121     0.607     0.000     0.000     0.000
    0.263  -14.2552     0.120     0.609     0.000     0.000     0.000
    0.274  -14.2361     0.119     0.609     0.000     0.000     0.000
    0.285  -14.2168     0.119     0.609     0.000     0.000     0.000
    0.296  -14.1973     0.119     0.613     0.000     0.000     0.000
    0.307  -14.1775     0.119     0.614     0.000     0.000     0.000
    0.318  -14.1575     0.118     0.615     0.000     0.000     0.000
    0.329  -14.1373     0.118     0.615     0.000     0.000     0.000
    0.340  -14.1170     0.119     0.617     0.000     0.000     0.000
    0.351  -14.0969     0.121     0.621     0.000     0.000     0.000
    0.362  -14.0797     0.118     0.621     0.000     0.000     0.000
    0.362  -14.0797     0.118     0.621     0.000     0.000     0.000
    0.384  -14.1311     0.120     0.616     0.000     0.000     0.000
    0.406  -14.1837     0.120     0.613     0.000     0.000     0.000
    0.428  -14.2359     0.120     0.615     0.000     0.000     0.000
    0.450  -14.2812     0.119     0.609     0.000     0.000     0.000
    0.472  -14.3315     0.125     0.601     0.000     0.000     0.000
    0.495  -14.3815     0.125     0.600     0.000     0.000     0.000
    0.517  -14.4306     0.125     0.598     0.000     0.000     0.000
    0.539  -14.4785     0.126     0.595     0.000     0.000     0.000
    0.561  -14.5251     0.126     0.592     0.000     0.000     0.000
    0.583  -14.5702     0.125     0.590     0.000     0.000     0.000
    0.605  -14.6137     0.123     0.589     0.000     0.000     0.000
    0.627  -14.6517     0.119     0.590     0.000     0.000     0.000
 
# Band-Index   10
    0.627  -14.0380     0.054     0.636     0.000     0.000     0.000
    0.605  -14.0373     0.054     0.636     0.000     0.000     0.000
    0.583  -14.0354     0.054     0.636     0.000     0.000     0.000
    0.561  -14.0321     0.055     0.635     0.000     0.000     0.000
    0.539  -14.0549     0.055     0.636     0.000     0.000     0.000
    0.517  -14.1117     0.118     0.622     0.000     0.000     0.000
    0.495  -14.1685     0.116     0.621     0.000     0.000     0.000
    0.472  -14.2250     0.116     0.617     0.000     0.000     0.000
    0.450  -14.2804     0.119     0.616     0.000     0.000     0.000
    0.428  -14.2289     0.120     0.613     0.000     0.000     0.000
    0.406  -14.1767     0.123     0.609     0.000     0.000     0.000
    0.384  -14.1241     0.123     0.607     0.000     0.000     0.000
    0.362  -14.0790     0.120     0.608     0.000     0.000     0.000
    0.362  -14.0790     0.120     0.608     0.000     0.000     0.000
    0.351  -14.0962     0.118     0.612     0.000     0.000     0.000
    0.340  -14.1163     0.119     0.614     0.000     0.000     0.000
    0.329  -14.1366     0.119     0.615     0.000     0.000     0.000
    0.318  -14.1568     0.118     0.614     0.000     0.000     0.000
    0.307  -14.1768     0.118     0.614     0.000     0.000     0.000
    0.296  -14.1966     0.118     0.614     0.000     0.000     0.000
    0.285  -14.2162     0.119     0.614     0.000     0.000     0.000
    0.274  -14.2355     0.119     0.616     0.000     0.000     0.000
    0.263  -14.2545     0.118     0.616     0.000     0.000     0.000
    0.252  -14.2733     0.120     0.617     0.000     0.000     0.000
    0.241  -14.2917     0.118     0.623     0.000     0.000     0.000
    0.230  -14.3092     0.119     0.616     0.000     0.000     0.000
    0.230  -14.3092     0.119     0.616     0.000     0.000     0.000
    0.210  -14.2728     0.118     0.616     0.000     0.000     0.000
    0.191  -14.2352     0.120     0.606     0.000     0.000     0.000
    0.172  -14.1976     0.124     0.604     0.000     0.000     0.000
    0.153  -14.1584     0.121     0.605     0.000     0.000     0.000
    0.134  -14.1186     0.125     0.615     0.000     0.000     0.000
    0.115  -14.0782     0.125     0.615     0.000     0.000     0.000
    0.096  -14.0374     0.125     0.618     0.000     0.000     0.000
    0.077  -14.0302     0.124     0.620     0.000     0.000     0.000
    0.057  -14.0336     0.055     0.634     0.000     0.000     0.000
    0.038  -14.0360     0.054     0.635     0.000     0.000     0.000
    0.019  -14.0375     0.054     0.636     0.000     0.000     0.000
    0.000  -14.0380     0.054     0.636     0.000     0.000     0.000
 
