    # Energy          Mo          Au           S          Si           C           O
   -14.09682     1.05110     0.04901     8.96333     0.21181     0.00004     0.00010
   -14.09382     0.34459     0.02217     2.88659     0.05696     0.00002     0.00004
   -14.09082     0.57343     0.02132     4.88541     0.11039     0.00003     0.00007
   -14.08782     2.25832     0.05510    19.23490     0.47881     0.00009     0.00024
   -14.08482     1.93328     0.04305    16.51516     0.41906     0.00008     0.00020
   -14.08182     1.60320     0.04007    13.59723     0.33384     0.00006     0.00015
   -14.07882     1.73424     0.04665    14.67313     0.35667     0.00006     0.00016
   -14.07582     2.39775     0.07232    20.12676     0.47697     0.00008     0.00022
   -14.07282     2.24841     0.06356    18.96017     0.46778     0.00006     0.00016
   -14.06982     1.58522     0.04538    13.37790     0.32880     0.00005     0.00014
   -14.06682     1.59629     0.04789    13.45007     0.32755     0.00005     0.00015
   -14.06382     1.86053     0.05765    15.65827     0.37523     0.00006     0.00017
   -14.06082     2.02708     0.07318    16.98041     0.38972     0.00007     0.00018
   -14.05782     2.64930     0.13878    22.03318     0.44550     0.00008     0.00020
   -14.05482     2.44589     0.14877    20.48761     0.40833     0.00007     0.00018
   -14.05182     2.78628     0.16155    23.36658     0.46998     0.00007     0.00020
   -14.04882     3.37652     0.17636    28.45299     0.59744     0.00009     0.00023
   -14.04582     3.77769     0.16792    31.86484     0.70705     0.00009     0.00024
   -14.04282     4.43998     0.19451    37.49827     0.83118     0.00011     0.00029
   -14.03982     2.23670     0.11033    18.51526     0.36937     0.00006     0.00015
   -14.03682     1.84090     0.08908    15.13343     0.30201     0.00004     0.00012
   -14.03382     1.64138     0.07547    13.43242     0.26974     0.00004     0.00010
   -14.03082     0.88162     0.04500     7.21506     0.13449     0.00002     0.00006
   -14.02782     0.66836     0.03322     5.43495     0.09937     0.00002     0.00004
   -14.02482     0.58295     0.02829     4.72274     0.08565     0.00001     0.00004
   -14.02182     0.51611     0.02419     4.16584     0.07512     0.00001     0.00003
   -14.01882     0.47510     0.02218     3.82420     0.06833     0.00001     0.00003
   -14.01582     0.45849     0.02199     3.68445     0.06500     0.00001     0.00003
   -14.01282     1.00924     0.06538     8.25641     0.16190     0.00001     0.00004
   -14.00982     1.61555     0.09815    13.10173     0.26457     0.00002     0.00007
   -14.00682     4.21483     0.20168    34.57942     0.79683     0.00006     0.00016
   -14.00382     5.81109     0.24870    48.21206     1.15642     0.00007     0.00020
   -14.00082     3.09472     0.16518    25.33025     0.55752     0.00005     0.00013
   -13.99782     3.09628     0.18331    25.32109     0.54050     0.00005     0.00013
   -13.99482     2.28059     0.11560    18.56655     0.40391     0.00003     0.00009
   -13.99182     1.99180     0.09900    16.17912     0.34814     0.00003     0.00008
   -13.98882     1.78498     0.08252    14.46250     0.31540     0.00002     0.00005
   -13.98582     1.21781     0.05556     9.82481     0.20025     0.00001     0.00004
   -13.98282     1.03131     0.03778     8.13446     0.11831     0.00001     0.00004
   -13.97982     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.97682     0.40999     0.00813     3.20901     0.06362     0.00000     0.00001
   -13.97382     0.94491     0.01810     7.39947     0.14873     0.00001     0.00003
   -13.97082     1.05259     0.01986     8.25517     0.16928     0.00001     0.00003
   -13.96782     1.39139     0.03802    10.96798     0.22417     0.00002     0.00005
   -13.96482     3.69439     0.20894    29.59680     0.57565     0.00005     0.00014
   -13.96182     1.57745     0.05349    12.40951     0.24422     0.00003     0.00007
   -13.95882     1.57621     0.04714    12.34509     0.24290     0.00003     0.00007
   -13.95582     1.78230     0.04323    13.84611     0.27191     0.00003     0.00008
   -13.95282     2.14527     0.04260    16.56924     0.32640     0.00003     0.00009
   -13.94982     2.49082     0.04415    19.13267     0.37411     0.00004     0.00010
   -13.94682     2.31362     0.04334    17.54628     0.32811     0.00004     0.00011
   -13.94382     2.50850     0.04470    18.90284     0.35054     0.00004     0.00012
   -13.94082     3.00002     0.05518    22.49347     0.41454     0.00005     0.00014
   -13.93782     4.24527     0.10343    32.15443     0.60050     0.00009     0.00023
   -13.93482     1.44179     0.06915    11.64916     0.23598     0.00004     0.00011
   -13.93182     1.38487     0.07127    11.19579     0.22238     0.00005     0.00013
   -13.92882     0.96065     0.04481     7.66026     0.14260     0.00005     0.00012
   -13.92582     1.01734     0.04723     8.10235     0.14882     0.00005     0.00014
   -13.92282     1.07938     0.05020     8.59018     0.15553     0.00006     0.00015
   -13.91982     1.22064     0.05831     9.72339     0.17141     0.00006     0.00017
   -13.91682     1.44220     0.07159    11.50547     0.19592     0.00008     0.00022
   -13.91382     1.21222     0.06267     9.65769     0.16250     0.00009     0.00023
   -13.91082     1.21734     0.06367     9.69106     0.16151     0.00009     0.00024
   -13.90782     1.51181     0.07840    12.01166     0.19487     0.00014     0.00037
   -13.90482     1.39057     0.07377    11.02942     0.17738     0.00012     0.00033
   -13.90182     1.25174     0.06791     9.90065     0.15789     0.00010     0.00028
   -13.89882     1.19974     0.06998     9.49805     0.15808     0.00009     0.00025
   -13.89582     1.18414     0.07086     9.36293     0.15526     0.00009     0.00024
   -13.89282     1.20348     0.07290     9.51080     0.15758     0.00009     0.00024
   -13.88982     1.19588     0.07331     9.43787     0.15549     0.00009     0.00023
   -13.88682     1.15572     0.07175     9.09880     0.14824     0.00008     0.00022
   -13.88382     1.14552     0.07210     9.00278     0.14575     0.00008     0.00021
   -13.88082     1.14520     0.07294     8.97791     0.14391     0.00007     0.00020
   -13.87782     1.12592     0.07291     8.77549     0.13598     0.00006     0.00017
   -13.87482     1.16951     0.07525     9.07138     0.13813     0.00006     0.00016
   -13.87182     1.22067     0.07798     9.43111     0.14112     0.00006     0.00016
   -13.86882     1.21772     0.07809     9.40103     0.13984     0.00006     0.00016
   -13.86582     1.22429     0.07895     9.43473     0.13882     0.00005     0.00015
   -13.86282     1.23752     0.08007     9.52476     0.13942     0.00005     0.00014
   -13.85982     1.28765     0.08373     9.88783     0.14355     0.00005     0.00014
