#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 416
# Band-Index    1
   0.31787    -13.749181    -13.749207
   0.32892    -13.737032    -13.737058
   0.33996    -13.724725    -13.724752
   0.35100    -13.712268    -13.712295
   0.36204    -13.699953    -13.699979
   0.36204    -13.699953    -13.699979
   0.38413    -13.711946    -13.711972
   0.40621    -13.723243    -13.723270
   0.42830    -13.733579    -13.733605
   0.45039    -13.742923    -13.742949
   0.47247    -13.751247    -13.751273
   0.49456    -13.758533    -13.758559
   0.51665    -13.764761    -13.764787
   0.53873    -13.740197    -13.740223
   0.56082    -13.746399    -13.746425
   0.58291    -13.771083    -13.771109
   0.60499    -13.779776    -13.779802
   0.62708    -13.780760    -13.780787
 
# Band-Index   18
   0.62708    -13.780060    -13.780086
   0.60499    -13.776793    -13.776819
   0.58291    -13.770518    -13.770544
   0.56082    -13.746122    -13.746149
   0.53873    -13.739866    -13.739892
   0.51665    -13.764546    -13.764572
   0.49456    -13.758345    -13.758371
   0.47247    -13.751069    -13.751095
   0.45039    -13.742750    -13.742776
   0.42830    -13.733408    -13.733435
   0.40621    -13.723075    -13.723101
   0.38413    -13.711779    -13.711805
   0.36204    -13.699629    -13.699655
   0.36204    -13.699629    -13.699655
   0.35100    -13.693360    -13.693386
   0.33996    -13.686697    -13.686723
   0.32892    -13.679823    -13.679849
   0.31787    -13.672743    -13.672769
   0.30683    -13.665463    -13.665489
   0.29579    -13.657990    -13.658016
   0.28475    -13.650335    -13.650362
   0.27371    -13.671418    -13.671445
   0.26266    -13.695169    -13.695195
   0.25162    -13.719265    -13.719291
   0.24058    -13.743672    -13.743699
   0.22954    -13.760741    -13.760767
   0.22954    -13.760741    -13.760767
   0.21041    -13.752764    -13.752791
   0.19128    -13.741150    -13.741177
   0.17215    -13.728594    -13.728620
   0.15303    -13.715296    -13.715323
   0.13390    -13.701359    -13.701385
   0.11477    -13.705995    -13.706022
   0.09564    -13.719942    -13.719968
   0.07651    -13.733276    -13.733302
   0.05738    -13.745756    -13.745782
   0.03826    -13.759715    -13.759741
   0.01913    -13.786071    -13.786097
   0.00000    -13.780060    -13.780086
 
# Band-Index   19
   0.00000    -13.775559    -13.775585
   0.01913    -13.766989    -13.767015
   0.03826    -13.748902    -13.748929
   0.05738    -13.719998    -13.720024
   0.07651    -13.732734    -13.732760
   0.09564    -13.719300    -13.719326
   0.11477    -13.705293    -13.705319
   0.13390    -13.700726    -13.700752
   0.15303    -13.714657    -13.714683
   0.17215    -13.727950    -13.727976
   0.19128    -13.740494    -13.740520
   0.21041    -13.752066    -13.752093
   0.22954    -13.759865    -13.759891
   0.22954    -13.759865    -13.759891
   0.24058    -13.735526    -13.735552
   0.25162    -13.711061    -13.711087
   0.26266    -13.686928    -13.686954
   0.27371    -13.663159    -13.663186
   0.28475    -13.649996    -13.650022
   0.29579    -13.657627    -13.657653
   0.30683    -13.665099    -13.665125
   0.31787    -13.672378    -13.672404
   0.32892    -13.679457    -13.679483
   0.33996    -13.686330    -13.686356
   0.35100    -13.692992    -13.693018
   0.36204    -13.699331    -13.699357
