  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.076  -14.2898     0.075     0.000     0.617     0.016
    0.057  -14.2919     0.072     0.001     0.615     0.015
    0.038  -14.2938     0.066     0.002     0.612     0.012
    0.019  -14.2931     0.069     0.003     0.623     0.014
    0.000  -14.2896     0.076     0.002     0.626     0.020
 
# Band-Index   11
    0.000  -14.2521     0.078     0.001     0.620     0.017
    0.019  -14.2514     0.076     0.001     0.617     0.016
    0.038  -14.2572     0.075     0.000     0.622     0.016
    0.057  -14.2645     0.075     0.001     0.623     0.016
    0.076  -14.2688     0.072     0.001     0.624     0.014
    0.095  -14.2706     0.071     0.001     0.620     0.012
    0.114  -14.2705     0.073     0.001     0.619     0.011
    0.133  -14.2691     0.073     0.002     0.617     0.010
    0.152  -14.2674     0.071     0.002     0.617     0.009
    0.171  -14.2687     0.073     0.002     0.622     0.014
    0.190  -14.2756     0.075     0.001     0.621     0.018
    0.209  -14.2780     0.076     0.001     0.621     0.021
    0.228  -14.2785     0.075     0.001     0.622     0.020
    0.228  -14.2785     0.075     0.001     0.622     0.020
    0.239  -14.2800     0.076     0.001     0.626     0.020
    0.250  -14.2837     0.075     0.001     0.625     0.017
    0.261  -14.2883     0.075     0.002     0.619     0.016
    0.272  -14.2922     0.076     0.002     0.617     0.016
    0.283  -14.2945     0.078     0.003     0.613     0.017
    0.294  -14.2948     0.078     0.003     0.613     0.015
    0.305  -14.2934     0.078     0.003     0.611     0.014
    0.316  -14.2908     0.078     0.003     0.613     0.014
    0.327  -14.2874     0.079     0.003     0.615     0.012
    0.338  -14.2834     0.082     0.003     0.610     0.012
    0.349  -14.2794     0.080     0.003     0.613     0.011
    0.360  -14.2758     0.078     0.003     0.617     0.011
    0.360  -14.2758     0.078     0.003     0.617     0.011
    0.382  -14.2715     0.080     0.003     0.615     0.012
    0.404  -14.2629     0.077     0.003     0.619     0.012
    0.426  -14.2606     0.074     0.001     0.620     0.009
    0.449  -14.2631     0.070     0.001     0.616     0.011
    0.471  -14.2669     0.070     0.001     0.617     0.011
    0.493  -14.2712     0.069     0.001     0.620     0.010
    0.515  -14.2751     0.070     0.002     0.619     0.009
    0.537  -14.2778     0.071     0.002     0.618     0.010
    0.559  -14.2773     0.074     0.001     0.619     0.010
    0.581  -14.2695     0.076     0.001     0.619     0.017
    0.603  -14.2575     0.076     0.000     0.621     0.018
    0.625  -14.2521     0.078     0.001     0.620     0.017
 
# Band-Index   12
    0.625  -14.2321     0.080     0.000     0.625     0.015
    0.603  -14.2337     0.078     0.000     0.622     0.014
    0.581  -14.2295     0.076     0.000     0.628     0.017
    0.559  -14.2238     0.076     0.000     0.625     0.017
    0.537  -14.2193     0.076     0.000     0.629     0.017
    0.515  -14.2172     0.076     0.001     0.628     0.016
    0.493  -14.2181     0.076     0.001     0.622     0.017
    0.471  -14.2227     0.079     0.001     0.625     0.018
    0.449  -14.2316     0.077     0.001     0.625     0.018
    0.426  -14.2442     0.075     0.001     0.620     0.013
    0.404  -14.2557     0.073     0.001     0.620     0.008
    0.382  -14.2603     0.070     0.001     0.618     0.008
    0.360  -14.2612     0.070     0.001     0.617     0.008
    0.360  -14.2612     0.070     0.001     0.617     0.008
    0.349  -14.2584     0.070     0.001     0.618     0.008
    0.338  -14.2555     0.068     0.001     0.618     0.009
    0.327  -14.2538     0.068     0.001     0.614     0.010
    0.316  -14.2531     0.070     0.001     0.615     0.010
    0.305  -14.2532     0.073     0.001     0.617     0.010
    0.294  -14.2537     0.074     0.001     0.617     0.010
    0.283  -14.2543     0.073     0.001     0.612     0.011
    0.272  -14.2551     0.074     0.001     0.616     0.011
    0.261  -14.2561     0.078     0.001     0.614     0.008
    0.250  -14.2571     0.080     0.001     0.613     0.009
    0.239  -14.2580     0.084     0.002     0.611     0.012
    0.228  -14.2584     0.086     0.002     0.613     0.011
    0.228  -14.2584     0.086     0.002     0.613     0.011
    0.209  -14.2588     0.087     0.001     0.609     0.008
    0.190  -14.2598     0.083     0.001     0.614     0.010
    0.171  -14.2584     0.080     0.002     0.618     0.017
    0.152  -14.2460     0.077     0.002     0.627     0.019
    0.133  -14.2335     0.074     0.002     0.625     0.019
    0.114  -14.2260     0.074     0.001     0.628     0.019
    0.095  -14.2233     0.076     0.001     0.630     0.020
    0.076  -14.2243     0.074     0.000     0.629     0.018
    0.057  -14.2282     0.079     0.000     0.628     0.017
    0.038  -14.2339     0.079     0.000     0.629     0.018
    0.019  -14.2362     0.081     0.000     0.626     0.015
    0.000  -14.2321     0.080     0.000     0.625     0.015
 
# Band-Index   13
    0.000  -14.2119     0.066     0.000     0.622     0.020
    0.019  -14.2048     0.069     0.000     0.624     0.018
    0.038  -14.1932     0.072     0.000     0.626     0.018
    0.057  -14.1825     0.074     0.000     0.628     0.017
    0.076  -14.1742     0.074     0.001     0.624     0.016
    0.095  -14.1697     0.073     0.001     0.627     0.016
    0.114  -14.1694     0.075     0.001     0.624     0.017
    0.133  -14.1722     0.076     0.001     0.622     0.015
    0.152  -14.1757     0.076     0.001     0.621     0.014
    0.171  -14.1782     0.083     0.001     0.620     0.014
    0.190  -14.1797     0.081     0.001     0.623     0.015
    0.209  -14.1804     0.080     0.001     0.622     0.014
    0.228  -14.1805     0.081     0.001     0.623     0.014
    0.228  -14.1805     0.081     0.001     0.623     0.014
    0.239  -14.1800     0.079     0.001     0.620     0.014
    0.250  -14.1787     0.079     0.001     0.623     0.015
    0.261  -14.1777     0.078     0.001     0.624     0.016
    0.272  -14.1783     0.081     0.001     0.626     0.017
    0.283  -14.1816     0.081     0.001     0.629     0.017
    0.294  -14.1878     0.081     0.001     0.624     0.016
    0.305  -14.1964     0.078     0.001     0.622     0.017
