  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.228  -14.3373     0.088     0.001     0.609     0.015
    0.228  -14.3373     0.088     0.001     0.609     0.015
    0.209  -14.3235     0.086     0.001     0.612     0.013
    0.190  -14.3021     0.084     0.002     0.612     0.015
    0.171  -14.2892     0.083     0.001     0.610     0.014
    0.152  -14.2859     0.078     0.001     0.616     0.017
    0.133  -14.2856     0.079     0.000     0.612     0.015
    0.114  -14.2863     0.077     0.000     0.616     0.017
    0.095  -14.2878     0.079     0.000     0.621     0.017
    0.076  -14.2897     0.075     0.000     0.617     0.016
    0.057  -14.2918     0.072     0.001     0.615     0.015
    0.038  -14.2937     0.066     0.002     0.614     0.012
    0.019  -14.2930     0.069     0.003     0.623     0.014
    0.000  -14.2895     0.075     0.002     0.628     0.020
 
# Band-Index   11
    0.000  -14.2520     0.078     0.001     0.620     0.017
    0.019  -14.2513     0.076     0.001     0.617     0.016
    0.038  -14.2571     0.075     0.000     0.622     0.016
    0.057  -14.2644     0.075     0.001     0.622     0.016
    0.076  -14.2687     0.072     0.001     0.624     0.014
    0.095  -14.2705     0.071     0.001     0.619     0.012
    0.114  -14.2703     0.073     0.001     0.620     0.011
    0.133  -14.2690     0.073     0.002     0.617     0.010
    0.152  -14.2673     0.071     0.002     0.618     0.008
    0.171  -14.2686     0.073     0.002     0.621     0.014
    0.190  -14.2755     0.075     0.001     0.621     0.018
    0.209  -14.2779     0.076     0.001     0.621     0.021
    0.228  -14.2784     0.075     0.001     0.622     0.020
    0.228  -14.2784     0.075     0.001     0.622     0.020
    0.239  -14.2799     0.076     0.001     0.627     0.020
    0.250  -14.2836     0.075     0.001     0.625     0.017
    0.261  -14.2882     0.075     0.002     0.619     0.016
    0.272  -14.2921     0.076     0.002     0.618     0.016
    0.283  -14.2943     0.078     0.003     0.613     0.017
    0.294  -14.2947     0.078     0.003     0.613     0.015
    0.305  -14.2933     0.078     0.003     0.611     0.014
    0.316  -14.2907     0.078     0.003     0.613     0.014
    0.327  -14.2873     0.079     0.003     0.616     0.012
    0.338  -14.2833     0.082     0.003     0.610     0.012
    0.349  -14.2793     0.080     0.003     0.614     0.011
    0.360  -14.2757     0.078     0.003     0.618     0.011
    0.360  -14.2757     0.078     0.003     0.618     0.011
    0.382  -14.2713     0.080     0.003     0.615     0.012
    0.404  -14.2628     0.077     0.003     0.619     0.012
    0.426  -14.2605     0.074     0.001     0.619     0.009
    0.449  -14.2630     0.070     0.001     0.616     0.011
    0.471  -14.2668     0.070     0.001     0.617     0.011
    0.493  -14.2711     0.069     0.001     0.619     0.010
    0.515  -14.2750     0.070     0.002     0.619     0.009
    0.537  -14.2777     0.071     0.002     0.618     0.010
    0.559  -14.2772     0.074     0.001     0.619     0.010
    0.581  -14.2694     0.076     0.001     0.620     0.017
    0.603  -14.2574     0.076     0.000     0.621     0.018
    0.625  -14.2520     0.078     0.001     0.620     0.017
 
# Band-Index   12
    0.625  -14.2320     0.080     0.000     0.624     0.015
    0.603  -14.2336     0.078     0.000     0.622     0.014
    0.581  -14.2294     0.076     0.000     0.628     0.017
    0.559  -14.2237     0.076     0.000     0.625     0.017
    0.537  -14.2192     0.076     0.000     0.629     0.017
    0.515  -14.2171     0.076     0.001     0.629     0.016
    0.493  -14.2180     0.076     0.001     0.622     0.017
    0.471  -14.2226     0.079     0.001     0.625     0.018
    0.449  -14.2315     0.078     0.001     0.625     0.018
    0.426  -14.2441     0.075     0.001     0.619     0.013
    0.404  -14.2556     0.073     0.001     0.619     0.008
    0.382  -14.2603     0.070     0.001     0.618     0.008
    0.360  -14.2611     0.070     0.001     0.617     0.008
    0.360  -14.2611     0.070     0.001     0.617     0.008
    0.349  -14.2583     0.070     0.001     0.616     0.008
    0.338  -14.2554     0.068     0.001     0.620     0.009
    0.327  -14.2537     0.068     0.001     0.613     0.010
    0.316  -14.2531     0.070     0.001     0.615     0.010
    0.305  -14.2531     0.073     0.001     0.617     0.010
    0.294  -14.2536     0.074     0.001     0.617     0.010
    0.283  -14.2542     0.073     0.001     0.612     0.011
    0.272  -14.2551     0.074     0.001     0.616     0.011
    0.261  -14.2560     0.078     0.001     0.612     0.008
    0.250  -14.2570     0.080     0.001     0.613     0.009
    0.239  -14.2579     0.084     0.002     0.611     0.012
    0.228  -14.2583     0.086     0.002     0.611     0.011
