#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 440
# Band-Index    1
   0.38245    -14.260343    -14.260261
   0.36042    -14.261189    -14.261092
   0.36042    -14.261189    -14.261092
   0.34942    -14.258440    -14.258348
   0.33843    -14.255496    -14.255411
   0.32743    -14.253753    -14.253672
   0.31643    -14.253146    -14.253066
   0.30544    -14.253220    -14.253140
   0.29444    -14.253668    -14.253587
   0.28344    -14.254329    -14.254247
   0.27245    -14.255134    -14.255051
   0.26145    -14.256055    -14.255971
   0.25045    -14.257054    -14.256968
   0.23946    -14.257960    -14.257873
   0.22846    -14.258361    -14.258274
   0.22846    -14.258361    -14.258274
   0.20942    -14.258805    -14.258719
   0.19038    -14.259815    -14.259730
   0.17134    -14.258438    -14.258350
   0.15231    -14.246036    -14.245926
   0.13327    -14.233486    -14.233371
   0.11423    -14.225985    -14.225873
   0.09519    -14.223265    -14.223156
   0.07615    -14.224255    -14.224151
   0.05711    -14.228184    -14.228085
   0.03808    -14.233914    -14.233821
   0.01904    -14.236164    -14.236078
   0.00000    -14.232090    -14.232006
 
# Band-Index   13
   0.00000    -14.211949    -14.211845
   0.01904    -14.204841    -14.204738
   0.03808    -14.193239    -14.193136
   0.05711    -14.182511    -14.182408
   0.07615    -14.174233    -14.174130
   0.09519    -14.169659    -14.169558
   0.11423    -14.169376    -14.169277
   0.13327    -14.172206    -14.172109
   0.15231    -14.175692    -14.175596
   0.17134    -14.178245    -14.178149
   0.19038    -14.179688    -14.179591
   0.20942    -14.180357    -14.180260
   0.22846    -14.180546    -14.180448
   0.22846    -14.180546    -14.180448
   0.23946    -14.179984    -14.179887
   0.25045    -14.178681    -14.178584
   0.26145    -14.177660    -14.177564
   0.27245    -14.178259    -14.178164
   0.28344    -14.181573    -14.181478
   0.29444    -14.187835    -14.187739
   0.30544    -14.196393    -14.196295
   0.31643    -14.206159    -14.206060
   0.32743    -14.215859    -14.215760
   0.33843    -14.224013    -14.223916
   0.34942    -14.229277    -14.229183
   0.36042    -14.231389    -14.231298
   0.36042    -14.231389    -14.231298
   0.38245    -14.229369    -14.229275
   0.40447    -14.220292    -14.220198
   0.42650    -14.205965    -14.205876
   0.44852    -14.188387    -14.188302
   0.47055    -14.170147    -14.170059
   0.49258    -14.155097    -14.154999
   0.51460    -14.147692    -14.147581
   0.53663    -14.151294    -14.151177
   0.55865    -14.164129    -14.164015
   0.58068    -14.181610    -14.181500
   0.60271    -14.200348    -14.200241
   0.62473    -14.211949    -14.211845
 
# Band-Index   14
   0.62473    -14.140869    -14.140759
   0.60271    -14.139359    -14.139250
   0.58068    -14.135414    -14.135307
   0.55865    -14.130440    -14.130337
   0.53663    -14.125436    -14.125336
