    # Energy          Mo           S          Si
   -13.49821    -2.96975   -18.27333    -0.00075
   -13.49521    -3.31020   -20.34574    -0.00083
   -13.49221    -3.74429   -23.02061    -0.00093
   -13.48921    -4.19051   -25.74963    -0.00103
   -13.48621    -4.57662   -28.09419    -0.00112
   -13.48321    -5.08274   -31.11695    -0.00121
   -13.48021    -4.85613   -29.95183    -0.00120
   -13.47721    -4.51123   -27.63620    -0.00107
   -13.47421    -4.42866   -27.31861    -0.00108
   -13.47121    -4.91531   -30.57383    -0.00125
   -13.46821    -3.92727   -24.47309    -0.00101
   -13.46521    -3.35842   -20.84256    -0.00085
   -13.46221    -4.13483   -25.58983    -0.00103
   -13.45921    -3.39339   -21.57613    -0.00096
   -13.45621    -3.12380   -19.90698    -0.00089
   -13.45321    -3.16037   -20.26468    -0.00092
   -13.45021    -3.01292   -19.35561    -0.00088
   -13.44721    -4.25786   -27.36972    -0.00123
   -13.44421    -3.51183   -22.51390    -0.00102
   -13.44121    -3.87309   -24.38139    -0.00102
   -13.43821    -4.66454   -28.61183    -0.00107
   -13.43521    -3.54817   -21.75409    -0.00081
   -13.43221    -4.71364   -28.21751    -0.00092
   -13.42921    -3.20208   -19.58270    -0.00071
   -13.42621    -2.99155   -18.30065    -0.00066
   -13.42321    -3.00290   -18.46885    -0.00069
   -13.42021    -3.01244   -18.63725    -0.00071
   -13.41721    -3.06899   -18.99981    -0.00073
   -13.41421    -3.05558   -18.99085    -0.00074
